time_secs,x_pose,y_pose,z_pose,x_ori,y_ori,z_ori,w_ori,roll,pitch,yaw
0.0033948421478271484,1.4979691162109374,-0.274964599609375,0.8603153076171876,0.0029898500266295593,-0.027778616116799947,0.8819087419142732,0.4705915216178863,-0.04622167967158317,-0.031423483392201516,2.1619803784160543
0.005137205123901367,1.497961181640625,-0.2749442138671875,0.8606693115234375,0.0025915803506395326,-0.027507196356634345,0.8819759125599925,0.4704839290813792,-0.046120509827452354,-0.030459520278414465,2.162209738313707
0.02314448356628418,1.499046875,-0.27688003540039063,0.861085205078125,0.008198990653829868,-0.030524555003271545,0.8813478467326119,0.47140958958627377,-0.046134816900825736,-0.04324493905392042,2.1602792642202626
0.03829002380371094,1.4971983642578126,-0.27444921875,0.8618108520507812,0.0005661903326958158,-0.026831187559346905,0.8818732436454454,0.47072215684512175,-0.04682362378193528,-0.02626170374618165,2.1616049228157115
0.0422825813293457,1.4970885009765624,-0.2750443115234375,0.8616746215820312,0.0010324939880430371,-0.026058316564564112,0.881640175229401,0.471201124272276,-0.045005939855426384,-0.026381052404212728,2.1605187839976034
0.05779528617858887,1.4963271484375,-0.2734778137207031,0.8619703979492187,-0.003472969621074552,-0.025146439205280386,0.8824876203607512,0.46965007717163754,-0.047670345548434356,-0.01749124070865726,2.1638779022420565
0.05979013442993164,1.4967015380859374,-0.27466952514648435,0.862220458984375,2.1806670793791706e-5,-0.02551829196756417,0.8816884036304597,0.4711415659895639,-0.045006058278904935,-0.02408623831390637,2.160617697078087
0.07688045501708984,1.49662109375,-0.27469439697265624,0.8624879150390625,-0.00011793212805757397,-0.025534090126130077,0.8816606168229447,0.4711926920876727,-0.045164141586742756,-0.023857264179224666,2.160498016152039
0.07834839820861816,1.4976058349609376,-0.2760065612792969,0.8621886596679688,0.003520968318828172,-0.027189990934545105,0.8814723473514139,0.47143908199243034,-0.04465208048769264,-0.03184950551789158,2.160058087473909
0.0925748348236084,1.4966201171875,-0.2748980712890625,0.8629520874023437,1.7131654702043622e-5,-0.025594035083958817,0.8816538607044582,0.47120209568671423,-0.04514250708408328,-0.024152482442353906,2.160481460035535
0.10657548904418945,1.4975205078125,-0.2760895080566406,0.8626898803710937,0.003532314802405715,-0.027237508838271286,0.8813831814656562,0.4716029349928813,-0.04471934416226535,-0.03192264548424519,2.159687577941474
0.10833239555358887,1.497537841796875,-0.27618209838867186,0.8629432373046875,0.0035689942655983886,-0.027130146063631764,0.881480887312648,0.4714262007536334,-0.04450166350995993,-0.03187712222034299,2.160087089630052
0.1266922950744629,1.4977193603515624,-0.27564410400390627,0.8635039672851562,0.0033240857205727864,-0.02805241311944485,0.8819128351772103,0.4705653660459862,-0.04639195023282581,-0.03226969611364676,2.162052718193763
0.1278676986694336,1.4976578369140625,-0.27559671020507814,0.863730224609375,0.0032180381085776667,-0.02801877134077949,0.8819310493155766,0.4705339700132295,-0.04643337652246134,-0.032049229175106775,2.1621208430991548
0.1416475772857666,1.4976099853515625,-0.2756490478515625,0.8639959716796874,0.0031650962772274585,-0.027955729116647437,0.881997439974745,0.4704136214578703,-0.046376147696119474,-0.03189013017414847,2.162391209216066
0.1542818546295166,1.4973616943359376,-0.2762817687988281,0.8639457397460938,0.0036239155238867427,-0.027345456760280013,0.881592153354732,0.47120522957010347,-0.04483807281780371,-0.032165821829298474,2.16059377449099
0.156449556350708,1.4973587646484374,-0.27634747314453123,0.8641969604492188,0.0034659531189459363,-0.027212122666039607,0.8815963489880754,0.4712062870971495,-0.044751356858900186,-0.03176152967665463,2.160585419870383
0.17650628089904785,1.4969852294921875,-0.2760928649902344,0.8646663208007812,0.002077687727322218,-0.026576785817390595,0.8816142830189494,0.4712171618758256,-0.04493650325394235,-0.028714259218098517,2.1605175931004448
0.19013524055480957,1.4974468994140624,-0.2771264343261719,0.864611572265625,0.004360724848427711,-0.02813282266856043,0.8815823425299322,0.4711709898825829,-0.045535868218439995,-0.03420608598148882,2.1607026424453237
0.19180583953857422,1.4974088134765624,-0.2771060180664062,0.8648807373046875,0.004219129160196099,-0.028037347483335754,0.8815697111938648,0.47120160271458544,-0.04549941212889486,-0.03386787331303006,2.16062838903535
0.20487499237060547,1.4958153076171874,-0.2749342041015625,0.8655035400390625,-0.0028640441560435098,-0.024264659916869078,0.8821378088275897,0.4703572150685579,-0.045526709643462865,-0.017774088298698046,2.162287946032554
0.2059617042541504,1.4956279296875,-0.27481387329101564,0.8657928466796875,-0.003409656199853863,-0.024071810010136994,0.8821306233267223,0.47037696116693795,-0.04569883092843838,-0.016630892023191637,2.1622217268832067
0.2251574993133545,1.4954949951171874,-0.27473785400390627,0.8661771240234375,-0.003993015582265872,-0.024083798654104923,0.8822011495110251,0.47023946906908426,-0.046270998288771355,-0.015605652927549736,2.1625118653704316
0.23915696144104004,1.497366943359375,-0.27616842651367185,0.8664075927734375,0.003410273495228703,-0.028181186166630137,0.8820191394370793,0.4703577664370001,-0.04654601890250835,-0.032532070553277705,2.1625279044614096
0.24036097526550293,1.4973531494140624,-0.276207763671875,0.8667050170898437,0.0036065876856969576,-0.028243485190466242,0.8820972533315111,0.47020605454902986,-0.04647724074645828,-0.032929188362255175,2.1628774020715418
0.2533450126647949,1.4973582763671875,-0.2763680419921875,0.8669608154296875,0.0037390404377738717,-0.0284289030980969,0.8820697540871512,0.4702454316310541,-0.04667889798444025,-0.033339488491689086,2.1627948975745617
