time_secs,axis_a_pos,axis_b_pos,axis_c_pos,axis_d_pos,axis_e_pos,axis_a_vel,axis_b_vel,axis_c_vel,axis_d_vel,axis_e_vel
0.02086806297302246,0.0012996451696380973,4.855720520019531,2.471027374267578,0.42206045985221863,2.433013439178467,0.00011208945215912536,0.011018113233149052,0.0016078518237918615,0.0015573485288769007,0.0024533250834792852
0.06087017059326172,0.0012992753181606531,4.855672836303711,2.471027374267578,0.4220724403858185,2.4330015182495117,1.547047395433765e-5,0.0015281019732356071,0.00034259611857123673,0.006617478560656309,-0.003960746340453625
0.06117987632751465,0.0012992753181606531,4.855672836303711,2.471027374267578,0.4220724403858185,2.4330015182495117,1.547047395433765e-5,0.0015281019732356071,0.00034259611857123673,0.006617478560656309,-0.003960746340453625
0.10553550720214844,0.0012994603021070361,4.855624675750732,2.470991611480713,0.42208442091941833,2.4329655170440674,-8.419928781222552e-5,0.0021787239238619804,-0.000948311120737344,0.003834374248981476,0.0005268953973427415
0.10607051849365234,0.0012994603021070361,4.855624675750732,2.470991611480713,0.42208442091941833,2.4329655170440674,-8.419928781222552e-5,0.0021787239238619804,-0.000948311120737344,0.003834374248981476,0.0005268953973427415
0.12783026695251465,0.0012994603021070361,4.855624675750732,2.470991611480713,0.42208442091941833,2.4329655170440674,-8.419928781222552e-5,0.0021787239238619804,-0.000948311120737344,0.003834374248981476,0.0005268953973427415
0.14996600151062012,0.0012994603021070361,4.855672836303711,2.471003532409668,0.4220724403858185,2.4329895973205566,-6.293047044891864e-5,-0.001181841129437089,0.00017054358613677323,0.004011969547718763,0.002694732742384076
0.21621417999267578,0.0012994603021070361,4.855672836303711,2.471003532409668,0.42206045985221863,2.4329895973205566,0.00011263513442827389,-0.003016341244801879,-0.002359487349167466,-0.0008744883234612644,-0.001043218420818448
0.2629966735839844,0.0012996451696380973,4.855720520019531,2.471003532409668,0.4220964014530182,2.4329895973205566,-8.725683073862456e-6,0.0010462558129802346,0.0018191671697422862,-0.0019808548968285322,0.002870838390663266
0.28292226791381836,0.0012996451696380973,4.855720520019531,2.471003532409668,0.4220964014530182,2.4329895973205566,-8.725683073862456e-6,0.0010462558129802346,0.0018191671697422862,-0.0019808548968285322,0.002870838390663266
0.28502631187438965,0.0012996451696380973,4.855720520019531,2.471003532409668,0.4220964014530182,2.4329895973205566,-8.725683073862456e-6,0.0010462558129802346,0.0018191671697422862,-0.0019808548968285322,0.002870838390663266
0.3066141605377197,0.0012990902177989483,4.855720520019531,2.4709675312042236,0.4220964014530182,2.4329895973205566,-4.827313023270108e-5,-0.0014825621619820595,-0.002270539989694953,0.0026162448339164257,-0.0006145116640254855
0.3272080421447754,0.0012994603021070361,4.855672836303711,2.471003532409668,0.42206045985221863,2.4329776763916016,-5.614264227915555e-5,0.00143600779119879,-0.007187864277511835,0.003349833656102419,-0.002592433476820588
0.34950804710388184,0.0012994603021070361,4.855672836303711,2.471003532409668,0.42206045985221863,2.4329776763916016,-5.614264227915555e-5,0.00143600779119879,-0.007187864277511835,0.003349833656102419,-0.002592433476820588
0.3938174247741699,0.0012994603021070361,4.855696678161621,2.471003532409668,0.42208442091941833,2.4330015182495117,3.4157532354583964e-5,0.004985279869288206,0.0004612749326042831,-0.007187397684901953,-0.0018177523743361235
0.41594505310058594,0.0012994603021070361,4.855696678161621,2.471003532409668,0.42208442091941833,2.4330015182495117,3.4157532354583964e-5,0.004985279869288206,0.0004612749326042831,-0.007187397684901953,-0.0018177523743361235
0.4381105899810791,0.0012992753181606531,4.855696678161621,2.471003532409668,0.42208442091941833,2.433013439178467,-7.499131606891751e-5,0.00935357715934515,0.0063369921408593655,0.0034724483266472816,-0.009782111272215843
0.4602851867675781,0.0012992753181606531,4.855696678161621,2.471003532409668,0.42208442091941833,2.433013439178467,-7.499131606891751e-5,0.00935357715934515,0.0063369921408593655,0.0034724483266472816,-0.009782111272215843
0.460507869720459,0.0012992753181606531,4.855696678161621,2.471003532409668,0.42208442091941833,2.433013439178467,-7.499131606891751e-5,0.00935357715934515,0.0063369921408593655,0.0034724483266472816,-0.009782111272215843
0.4827604293823242,0.0012994603021070361,4.855648517608643,2.471015453338623,0.42206045985221863,2.4329655170440674,5.099887857795693e-5,0.004178616218268871,-0.0017905239947140217,-0.0038983142003417015,-0.003419172717258334
0.504697322845459,0.0012990902177989483,4.855672836303711,2.471003532409668,0.4220724403858185,2.4329895973205566,-5.088166744826594e-6,-0.005133905913680792,-0.004944976419210434,-0.0017153281951323152,-0.0038700804580003023
0.5048589706420898,0.0012990902177989483,4.855672836303711,2.471003532409668,0.4220724403858185,2.4329895973205566,-5.088166744826594e-6,-0.005133905913680792,-0.004944976419210434,-0.0017153281951323152,-0.0038700804580003023
0.5065231323242188,0.0012990902177989483,4.855672836303711,2.471003532409668,0.4220724403858185,2.4329895973205566,-5.088166744826594e-6,-0.005133905913680792,-0.004944976419210434,-0.0017153281951323152,-0.0038700804580003023
0.5269796848297119,0.0012990902177989483,4.855672836303711,2.471003532409668,0.4220724403858185,2.4329895973205566,-5.088166744826594e-6,-0.005133905913680792,-0.004944976419210434,-0.0017153281951323152,-0.0038700804580003023
0.5278301239013672,0.0012990902177989483,4.855672836303711,2.471003532409668,0.4220724403858185,2.4329895973205566,-5.088166744826594e-6,-0.005133905913680792,-0.004944976419210434,-0.0017153281951323152,-0.0038700804580003023
